DISTRICT_NAME,TALUKA_NAME,Latitude,Longitude,RICE,WHEAT,KHARIP_JOWAR,RABBI_JOWAR,BAJRA,MAIZE,WARI,RAGI,RALA,SAWA,BHADALI,GRAM,TUR,MUNG,UDID,KULITH,MATH,BEANS,PEAS,SUGARCANE,CHILLI,GARLIC,MANGO,GRAPES,CITRUS,BANANA,POTATOS,ONIONS,BRINJALS,TOMATOSP,COTTON,GROUNDNUTS,SUNFLOWER,SAFFLOWER_AR_UNDR_CROP,SOYABEAN
 Hingoli , Sengaon ,19.7929498,76.8865085,550,0,1600,0,0,60,0,0,0,0,0,0,0,4000,15000,0,100,0,30,0,60,40,150,1,120,0,0,0,5,3,18000,70,425,0,0
 Hingoli , Hingoli ,19.7173703,77.1493722,250,6200,10200,70,8,50,0,0,0,0,0,6500,5200,4300,10500,0,60,0,50,0,65,35,26,0,188,0,0,60,45,35,14000,700,400,2700,29500
 Hingoli , Hingoli ,19.7173703,77.1493722,240,4500,12200,50,7,50,0,0,0,0,0,5000,5000,4600,10200,0,60,0,40,0,55,30,26,0,188,0,0,60,30,25,13600,400,270,2400,28450
 Hingoli , Aundha (Nagnath) ,19.5400902,77.0406147,913,4500,6055,200,200,10,0,0,0,0,0,1050,2515,4749,3763,50,0,0,0,250,40,60,35,0,75,200,3,40,32,40,16284,750,220,2600,23348
 Hingoli , Aundha (Nagnath) ,19.5400902,77.0406147,882,3050,3314,195,190,12,0,0,0,0,0,1200,2521,1970,1781,20,0,0,0,240,50,50,35,0,75,150,3,45,34,45,22878,300,180,2500,25972
 Hingoli , Kalamnuri ,19.6751188,77.3079806,2000,10500,12500,0,100,70,0,0,0,0,0,8700,5900,6100,5000,50,50,20,25,0,80,10,26,0,102,500,2,60,20,0,16850,300,200,500,19000
 Hingoli , Kalamnuri ,19.6751188,77.3079806,2000,8400,11200,0,175,70,0,0,0,0,0,6200,5200,5200,5200,52,60,20,20,0,50,60,26,0,102,402,0,50,20,0,18040,200,110,620,20400
 Hingoli , Basmath ,19.3301963,77.1589479,979,10800,9046,1200,0,0,0,0,0,0,0,9020,3984,2984,2155,0,0,0,0,5578,15,5,32,1,225,1250,0,80,20,20,29059,3500,440,0,20089
 Hingoli , Basmath ,19.3301963,77.1589479,972,9500,8905,1830,0,0,0,0,0,0,0,8000,3369,3329,2294,0,0,0,0,5450,10,5,32,1,225,900,0,60,16,16,29394,2900,475,0,21517
 Jalgaon , Chopda ,21.2472081,75.3031435,18,816,7813,2285,1296,27,0,0,0,0,0,452,423,7005,3247,0,24,0,0,4433,253,1,12,0,60,4562,0,759,35,0,30998,429,565,23,325
 Jalgaon , Yawal ,21.168089,75.6991717,23,2597,1518,236,416,1037,0,0,0,0,0,616,786,1930,3495,55,507,0,0,2484,66,2,0,0,32,9285,10,218,0,0,18005,898,141,55,5
 Jalgaon , Raver ,21.2400311,76.0333885,0.15,14689,0,149,0,102,0,0,0,0,0,1806,709,933,1773,6,1,0,0,654,6,0,0,0,9,22215,0,22,31,0,12896,836,0,12,308
 Jalgaon , Muktainagar ,21.0468205,76.0594972,190,1970,4480,490,3090,935,0,0,0,0,0,875,1190,1080,990,0,440,0,0,1515,290,25,0,70,170,3940,0,220,0,0,9580,3830,110,80,190
 Jalgaon , Bodvad ,20.901904,76.0174308,0,408,6744,0,0,38,0,0,0,0,0,300,469,635,987,0,111,0,0,2,313,0,0,0,8,205,0,53,0,0,14077,0,0,5,439
 Jalgaon , Bhusawal ,21.0417707,75.7875517,0,598,7281,0,391,0,0,0,0,0,0,235,580,780,4780,25,31,0,0,270,129,20,0,0,568,472,0,72,0,0,0,0,3,6,6
 Jalgaon , Jalgaon ,21.0076578,75.5626039,23,458,8033,0,449,0,0,0,0,0,0,826,450,2209,17083,0,10,0,0,482,118,5,0,0,74,3504,0,19,54,3,23210,11,78,0,698
 Jalgaon , Erandol ,20.9265794,75.3324723,70,1740,5970,680,930,950,0,0,0,0,0,1540,1630,870,1750,0,680,0,0,920,180,50,0,0,380,1160,0,210,90,90,7481,2130,0,60,0
 Jalgaon , Dharangaon ,21.0145539,75.2741557,0,605,8990,1509,490,106,0,0,0,0,0,402,443,2879,5595,0,4,0,0,371,71,0,0,0,61,312,0,20,26,0,22077,23,52,0,72
 Jalgaon , Amalner ,21.0419208,75.0581943,0,674,15466,4080,9056,152,0,0,12,0,0,2159,674,3995,2017,78,40,0,0,101,840,6,4,2,96,201,0,48,28,6,26715,591,394,6,105
 Jalgaon , Parola ,20.88098,75.11937,4,383,11349,0,639,0,0,0,0,0,0,242,725,799,2056,2,142,0,0,57,143,1,0,0,54,110,0,0,68,1,8389,28,0,1,29
 Jalgaon , Bhadgaon ,20.6692763,75.2290786,40,1929,8175,145,4561,80,0,0,0,0,0,354,621,841,712,2,50,0,0,1038,75,1,14,0,194,1681,0,40,13,2,8684,563,0,0,15
 Jalgaon , Chalisgaon ,20.4619475,75.0063288,0,1364,0,0,0,0,0,0,0,0,0,925,0,0,0,0,0,0,0,2160,291,2,4,17,198,740,0,390,149,21,28115,2795,93,13,19
 Jalgaon , Pachora ,20.6588865,75.3491798,0,1631,11788,988,5852,878,0,0,0,0,0,264,812,2106,2217,0,234,0,0,314,107,7,5,0,372,1117,0,57,44,7,33058,25,140,41,141
 Jalgaon , Jamner ,20.8095714,75.7787358,217,588,17470,0,2183,0,0,0,0,0,0,3460,2842,1425,3395,0,284,0,0,86,317,0,13,0,800,1500,0,81,0,50,60946,586,155,0,0
 Jalna , Bhokardan ,20.2590232,75.7697582,0,5500,1800,2300,3100,0,0,0,0,0,0,4100,4400,3200,2200,0,3,0,0,690,150,80,113,0,0,0,0,40,0,0,48500,0,100,200,4100
 Jalna , Jafferabad ,20.1863891,76.0079913,0,4800,800,4500,900,0,0,0,0,0,0,3000,450,3300,2500,0,4,0,0,590,105,20,715,0,0,0,0,25,0,0,27000,0,0,100,11000
 Jalna , Jalna ,19.8346659,75.8816345,0,6400,0,18700,4000,0,0,0,0,0,0,3700,9200,9700,3500,0,2,0,0,972,90,10,120,0,0,5,0,50,0,0,42200,0,0,0,11300
 Jalna , Badnapur ,19.8682398,75.7256331,0,3200,0,13000,11500,0,0,0,0,0,0,1800,5900,4800,300,0,2,0,0,180,50,10,77,0,0,5,0,20,0,0,28100,0,100,400,1100
 Jalna , Ambad ,18.0719301,75.3441329,0,3900,0,18000,5900,0,0,0,0,0,0,5300,11100,4500,300,0,5,0,0,8003,5,15,250,0,0,10,0,100,0,0,42700,0,0,100,1100
 Jalna , Ghansawangi ,19.5231209,75.9869609,0,3900,0,17100,8400,0,0,0,0,0,0,3300,8800,5800,300,0,4,0,0,7148,40,25,147,0,0,15,0,80,0,0,40900,0,0,0,2600
 Jalna , Partur ,19.5857562,76.213349,0,3600,0,18000,1200,0,0,0,0,0,0,2800,10500,6000,700,0,3,0,0,760,30,10,123,0,0,15,0,35,0,0,38000,0,0,0,3500
 Jalna , Mantha ,19.6489,76.3883,0,3000,1000,11800,1100,0,0,0,0,0,0,3200,9300,7900,6100,0,4,0,0,65,30,10,76,0,0,5,0,80,0,0,21900,0,0,300,11800
 Kolhapur , Shahuwadi ,16.9123352,73.94484,13377,1050,424,100,0,210,232,2508,0,252,0,900,12,0,445,64,0,199,15,2672,93,0,112,0,0,0,0,36,0,80,0,2847,40,0,0
 Kolhapur , Panhala ,16.8106871,74.1181234,10776,358,1745,140,0,230,58,1481,0,27,0,1060,174,10,239,270,0,394,5,9404,296,0,532,0,0,0,0,46,0,8,0,2248,0,0,0
 Kolhapur , Hatkanangle ,16.9429263,74.123996,1007,1073,3476,3200,24,642,32,59,0,70,0,1760,341,1126,799,401,3,231,29,13989,339,0,426,0,0,0,0,230,0,86,0,8079,35,0,0
 Kolhapur , Shirol ,16.7480408,74.5908872,570,1342,155,2100,21,336,0,45,0,200,0,2230,77,544,206,0,18,209,18,17883,381,0,273,0,0,0,0,209,0,85,25,2250,4,0,0
 Kolhapur , Karvir ,16.6951125,74.2294632,11865,838,1381,460,1,427,165,645,0,199,0,900,324,412,114,346,0,276,88,19936,316,0,347,0,0,0,0,170,0,101,3,6176,75,0,0
 Kolhapur , Gaganbavda ,16.5435052,73.8316141,4126,86,0,0,0,735,0,1368,0,179,0,0,0,0,0,0,0,125,0,10244,125,0,186,0,0,0,0,77,0,2,0,570,0,0,0
 Kolhapur , Radhanagari ,16.4151164,73.9976946,11797,100,7,660,0,580,188,2627,0,121,0,0,0,0,0,12,0,74,57,7339,125,0,184,0,0,0,0,35,0,6,0,1223,2,0,0
 Kolhapur , Kagal ,16.5886465,74.3085454,9963,1139,725,2790,0,709,135,339,3,190,0,2975,551,86,669,158,0,127,55,8212,709,0,530,0,0,0,0,99,0,110,0,11614,130,0,0
 Kolhapur , Bhudargad ,16.2155927,74.0711575,12586,390,45,8,1,210,22,3500,0,121,0,1000,1,0,0,160,0,85,10,3362,99,0,325,0,0,0,0,56,0,10,0,3051,0,0,0
 Kolhapur , Ajra ,16.1018,74.1244,9067,1260,556,15,0,727,0,3701,0,179,0,1655,0,0,0,246,0,189,16,2364,375,0,309,0,0,0,0,45,0,14,19,4862,0,0,0
 Kolhapur , Gadhinglaj ,16.226445,74.3499691,7592,720,1960,1420,0,1282,43,385,0,219,0,1400,629,530,600,455,0,256,77,4984,1034,0,708,0,0,0,0,56,0,146,0,19875,40,0,0
 Kolhapur , Chandgad ,15.9472889,74.1885825,13599,135,94,300,0,389,4,7126,0,72,0,0,301,0,0,19,0,186,5,8280,1230,0,1604,0,0,0,0,61,0,12,62,6470,0,0,0
 Latur , Latur ,18.4087934,76.5603828,1300,4800,12200,4300,500,900,0,0,0,0,0,8700,7100,2900,9600,0,0,7,0,13600,253,168,352,40,7.9,5,138.5,378,98.9,94.35,0,200,1300,600,31800
 Latur , Renapur ,18.5291086,76.5965,400,4600,10100,2100,300,300,0,0,0,0,0,7800,5800,1900,1600,0,0,4,0,2100,111,51,176,194.91,5,9,41.4,169,50.7,38.9,300,200,600,500,24200
 Latur , Ahmadpur ,18.7061945,76.938379,200,4300,16600,200,600,600,0,0,0,0,0,4300,14300,2600,700,0,0,0.2,0,500,143,51,310,38,5.5,8,26.7,204,56.05,112.65,3200,200,4600,200,26400
 Latur , Jalkot ,18.7061945,76.938379,600,1600,24900,1600,600,600,0,0,0,0,0,5400,13100,1700,7700,0,0,8.8,0,100,177,152,288,174.92,2.7,8,248.3,227,89.55,295.6,0,300,1900,800,19000
 Latur , Chakur ,18.6282758,77.1787114,600,600,5200,0,100,100,0,0,0,0,0,700,5100,2100,1000,0,0,0,0,100,47,19,75,2.7,1.2,0,1.6,47,28.9,40.6,700,0,400,200,7800
 Latur , Shirur-Anantpal ,18.51122,76.8721722,300,2200,4100,2500,200,300,0,0,0,0,0,5000,5000,1800,2600,0,0,0,0,2200,0,0,100,9.6,3,2,41.2,192,60.4,52.2,0,0,600,700,9600
 Latur , Ausa ,18.3369203,76.8389413,1300,10100,18900,8200,1300,1000,0,0,0,0,0,13500,18700,3800,13600,0,0,3.8,0,8800,309,147,364,278,6,20,63.8,457,166.38,191.54,100,900,4200,3700,25600
 Latur , Nilanga ,18.245655,76.505356,800,9900,15500,5000,500,600,0,0,0,0,0,18500,9200,4700,10900,0,0,0.6,0,6400,168,77,240,89,4,8,100.6,522,98.2,81.05,0,200,6800,4400,29200
 Latur , Deoni ,18.1258753,76.750966,700,600,8700,1000,700,300,0,0,0,0,0,3600,5600,2600,8000,0,0,0,0,1500,77,31,70,1.4,2.5,0,13.3,99,45.25,58.65,200,100,600,3100,800
 Latur , Udgir ,18.2621023,77.0823482,500,2300,9500,500,100,200,0,0,0,0,0,7600,9100,2800,4500,0,0,2.6,0,5000,176,55,270,67.63,4.6,5,3.35,268,88.45,140.15,100,100,3600,1200,9900
 Nagpur , Narkhed ,18.3942882,77.1126009,4359,1597,4597,589,4,93,0,0,0,0,0,1278,6128,330,440,107,54,0,0,119,903,14,72,7,2382,17,54,8,293,66,7270,623,12,0,21174
 Nagpur , Katol ,21.4691505,78.5291706,4213,1945,5784,663,1,80,0,0,0,0,0,3217,2818,650,630,25,42,0,0,214,1156,2,126,10,2670,1,35,75,427,132,6590,1140,20,0,19856
 Nagpur , Kalameshwar ,21.273289,78.5859566,2260,1474,4214,223,0,9,0,0,0,0,0,1536,4043,230,255,25,80,0,0,52,1417,6,185,0,2609,8,12,52,355,116,5720,605,0,0,15400
 Nagpur , Savner ,21.2344491,78.9120188,3718,2448,5841,788,0,0,0,0,0,0,0,2667,5660,215,129,39,16,0,0,33,1351,2,130,4,2886,4,14,102,213,128,8662,1029,21,0,11611
 Nagpur , Parseoni ,21.385311,78.92186,2877,2490,2530,285,0,0,0,0,0,0,0,2542,4044,344,141,37,44,0,0,99,2343,0,126,0,1878,2,13,16,490,107,4045,292,54,0,12307
 Nagpur , Ramtek ,21.3756969,79.1520312,3958,1485,3160,390,0,250,0,0,0,0,0,2168,3961,319,120,10,32,0,0,76,1262,7,148,13,2715,2,2,35,373,62,5558,140,0,0,13041
